composition,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum Row,MagpieData range Row,MagpieData minimum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,gap expt
Ag8GeS6,2.58,0.6500000000000001,2.195333333333333,1.93,5.0,2.0,11.0,13.2,2.3466666666666667,11.0,145.0,40.0,127.33333333333333,18.84444444444444,1.0,2.0,1.4666666666666666,1.0,4.0,1.7333333333333334,1.848888888888889,6.0,14.0,8.0,9.2,2.5600000000000005,4.0,4.0,1.0666666666666667,1.1377777777777778,4.0,1.6,0.6400000000000001,1.18
Ag8SnSe6,2.55,0.6199999999999999,2.1799999999999997,1.93,5.0,1.0,11.0,13.2,2.3466666666666667,11.0,145.0,25.0,134.6,11.680000000000001,1.0,2.0,1.4666666666666666,1.0,4.0,1.7333333333333334,1.848888888888889,11.0,16.0,5.0,13.2,2.3466666666666667,4.0,4.0,1.0666666666666667,1.1377777777777778,4.0,1.6,0.6400000000000001,0.71
AgAsSe2,2.55,0.6199999999999999,2.3025,2.55,5.0,1.0,11.0,14.5,1.75,16.0,145.0,26.0,126.0,9.5,1.0,2.0,1.75,2.0,4.0,2.75,1.375,11.0,16.0,5.0,14.5,1.75,3.0,3.0,1.75,0.875,3.0,2.0,0.5,1.4
AgBi(PS3)2,2.58,0.6500000000000001,2.3810000000000002,2.58,6.0,3.0,11.0,15.2,0.9600000000000002,16.0,148.0,43.0,113.7,13.120000000000001,1.0,2.0,1.9,2.0,4.0,3.3,0.8400000000000001,5.0,29.0,24.0,8.6,4.56,3.0,3.0,2.1,0.54,3.0,2.2,0.4800000000000001,1.7
AgBi(PSe3)2,2.55,0.6199999999999999,2.363,2.55,6.0,3.0,11.0,15.2,0.9600000000000002,16.0,148.0,41.0,122.7,9.520000000000001,1.0,2.0,1.9,2.0,4.0,3.3,0.8400000000000001,5.0,29.0,24.0,14.6,4.5600000000000005,3.0,3.0,2.1,0.54,3.0,2.2,0.4800000000000001,1.4
AgBiPbS3,2.58,0.6500000000000001,2.3366666666666664,2.58,6.0,3.0,11.0,14.666666666666666,1.4444444444444446,16.0,148.0,43.0,125.66666666666667,20.666666666666668,1.0,2.0,1.8333333333333333,2.0,4.0,2.8333333333333335,1.222222222222222,6.0,29.0,23.0,14.333333333333334,9.444444444444445,4.0,4.0,2.1666666666666665,0.888888888888889,4.0,2.3333333333333335,0.7777777777777778,1.2
AgBiPbSe3,2.55,0.6199999999999999,2.3216666666666668,2.55,6.0,2.0,11.0,14.666666666666666,1.4444444444444446,16.0,148.0,28.0,133.16666666666666,13.166666666666666,1.0,2.0,1.8333333333333333,2.0,4.0,2.8333333333333335,1.222222222222222,11.0,29.0,18.0,19.333333333333332,6.111111111111111,4.0,4.0,2.1666666666666665,0.888888888888889,4.0,2.3333333333333335,0.7777777777777778,0.13
AgBiS2,2.58,0.6500000000000001,2.2775,2.58,6.0,3.0,11.0,14.5,1.75,16.0,148.0,43.0,125.75,20.75,1.0,2.0,1.75,2.0,4.0,2.75,1.375,6.0,29.0,23.0,13.0,8.0,3.0,3.0,1.75,0.875,3.0,2.0,0.5,0.9
AgBiSe2,2.55,0.6199999999999999,2.2625,2.55,6.0,2.0,11.0,14.5,1.75,16.0,148.0,28.0,133.25,13.25,1.0,2.0,1.75,2.0,4.0,2.75,1.375,11.0,29.0,18.0,18.0,5.5,3.0,3.0,1.75,0.875,3.0,2.0,0.5,0.34
AgBr,2.96,1.03,2.445,1.93,5.0,1.0,11.0,14.0,3.0,11.0,145.0,25.0,132.5,12.5,1.0,2.0,1.5,1.0,5.0,2.5,2.5,11.0,17.0,6.0,14.0,3.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.52
AgCl,3.16,1.2300000000000002,2.545,1.93,5.0,2.0,11.0,14.0,3.0,11.0,145.0,43.0,123.5,21.5,1.0,2.0,1.5,1.0,5.0,2.5,2.5,7.0,11.0,4.0,9.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,5.13
AgF,3.98,2.05,2.955,1.93,5.0,3.0,11.0,14.0,3.0,11.0,145.0,88.0,101.0,44.0,1.0,2.0,1.5,1.0,5.0,2.5,2.5,7.0,11.0,4.0,9.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.8
AgO,3.44,1.51,2.685,1.93,5.0,3.0,11.0,13.5,2.5,11.0,145.0,79.0,105.5,39.5,1.0,2.0,1.5,1.0,4.0,2.0,2.0,6.0,11.0,5.0,8.5,2.5,2.0,2.0,1.0,1.0,2.0,1.5,0.5,1.57
AgP15,2.19,0.26,2.17375,2.19,5.0,2.0,11.0,14.75,0.46875,15.0,145.0,38.0,109.375,4.453125,1.0,2.0,1.9375,2.0,3.0,2.8125,0.3515625,5.0,11.0,6.0,5.375,0.703125,3.0,3.0,2.8125,0.3515625,3.0,2.875,0.234375,1.47
AgPd(IO3)3,3.44,1.51,3.0764285714285715,3.44,5.0,3.0,10.0,15.428571428571429,1.4081632653061222,16.0,145.0,79.0,92.5,34.07142857142857,0.0,2.0,1.7857142857142858,2.0,5.0,3.642857142857143,1.0408163265306123,6.0,17.0,11.0,9.0,3.857142857142857,2.0,2.0,1.5,0.6428571428571429,2.0,1.5714285714285714,0.5510204081632654,1.5
AgSO4,3.44,1.51,3.045,3.44,5.0,3.0,11.0,15.166666666666666,1.3888888888888893,16.0,145.0,79.0,85.66666666666667,26.222222222222225,1.0,2.0,1.8333333333333333,2.0,4.0,3.3333333333333335,1.111111111111111,6.0,11.0,5.0,6.833333333333333,1.3888888888888886,2.0,2.0,1.6666666666666667,0.5555555555555555,2.0,1.8333333333333333,0.27777777777777785,0.18
AgTe2As,2.18,0.2500000000000002,2.0775,2.1,5.0,1.0,11.0,14.5,1.75,16.0,145.0,26.0,135.0,8.0,1.0,2.0,1.75,2.0,4.0,2.75,1.375,11.0,16.0,5.0,14.5,1.75,3.0,3.0,1.75,0.875,3.0,2.0,0.5,0.8
Al0.01Cd0.99Sb0.01Te0.99,2.1,0.49,1.8943500000000002,1.69,5.0,2.0,12.0,14.0,1.99,12.0,144.0,23.0,140.89,3.0789,2.0,2.0,2.0,2.0,4.0,2.0,1.99,3.0,16.0,13.0,13.95,2.04,5.0,5.0,1.03,1.0197,5.0,1.03,1.0197,1.6
Al0.01Ga0.99P1,2.19,0.5799999999999998,1.999,2.19,4.0,1.0,13.0,14.0,1.0,15.0,122.0,15.0,114.495,7.495,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,8.95,4.0095,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.27
Al0.01In0.99P1,2.19,0.5799999999999998,1.98415,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,124.39500000000001,17.42895,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,8.95,4.0095,5.0,2.0,4.0,1.0,5.0,4.0,1.0,1.3
Al0.05Cd0.95Sb0.05Te0.95,2.1,0.49,1.89175,1.69,5.0,2.0,12.0,14.0,1.95,12.0,144.0,23.0,140.45,3.3724999999999996,2.0,2.0,2.0,2.0,4.0,2.0,1.95,3.0,16.0,13.0,13.75,2.1999999999999997,5.0,5.0,1.15,1.0924999999999998,5.0,1.15,1.0924999999999998,1.37
Al0.15Ga0.85As1,2.18,0.5700000000000001,1.98,2.18,4.0,1.0,13.0,14.0,1.0,15.0,122.0,3.0,120.425,1.4249999999999998,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,15.0,12.0,13.25,1.75,5.0,2.0,4.0,1.0,5.0,4.0,1.0,1.6
Al0.1Cd0.9Sb0.1Te0.9,2.1,0.49,1.8885,1.69,5.0,2.0,12.0,14.0,1.9,12.0,144.0,23.0,139.9,3.690000000000001,2.0,2.0,2.0,2.0,4.0,2.0,1.9,3.0,16.0,13.0,13.5,2.4000000000000004,5.0,5.0,1.3,1.1700000000000002,5.0,1.3,1.1700000000000002,1.36
Al0.1In0.9P1,2.19,0.5799999999999998,1.9765000000000001,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,123.45,16.695,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,8.5,4.05,5.0,2.0,4.0,1.0,5.0,4.0,1.0,1.5
Al0.2Ga0.8P1,2.19,0.5799999999999998,1.98,2.19,4.0,1.0,13.0,14.0,1.0,15.0,122.0,15.0,114.4,7.4,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,8.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.3
Al0.2In0.8P1,2.19,0.5799999999999998,1.968,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,122.4,15.680000000000001,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,8.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,1.7
Al0.35Ga0.65As1,2.18,0.5700000000000001,1.9600000000000002,2.18,4.0,1.0,13.0,14.0,1.0,15.0,122.0,3.0,120.32499999999999,1.325,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,15.0,12.0,12.25,3.2375,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.0
Al0.3Ga0.7As1,2.18,0.5700000000000001,1.965,2.18,4.0,1.0,13.0,14.0,1.0,15.0,122.0,3.0,120.35,1.3499999999999999,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,15.0,12.0,12.5,2.85,5.0,2.0,4.0,1.0,5.0,4.0,1.0,1.81
Al0.3In0.7P1,2.19,0.5799999999999998,1.9595,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,121.35,14.454999999999998,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,7.5,3.8499999999999996,5.0,2.0,4.0,1.0,5.0,4.0,1.0,1.9
Al0.45Cd0.55Sb0.45Te0.55,2.1,0.49,1.86575,1.69,5.0,2.0,12.0,14.000000000000002,1.55,12.0,144.0,23.0,136.05,6.772499999999995,2.0,2.0,2.0,2.0,4.0,2.0,1.55,3.0,16.0,13.0,11.75,3.9375000000000004,5.0,5.0,2.35,1.485,5.0,2.35,1.485,1.93
Al0.4Cd0.6Sb0.4Te0.6,2.1,0.49,1.8690000000000002,1.69,5.0,2.0,12.0,14.0,1.6,12.0,144.0,23.0,136.6,6.240000000000004,2.0,2.0,2.0,2.0,4.0,2.0,1.6,3.0,16.0,13.0,12.0,3.6000000000000005,5.0,5.0,2.2,1.44,5.0,2.2,1.44,1.8
Al0.4Ga0.6P1,2.19,0.5799999999999998,1.96,2.19,4.0,1.0,13.0,14.0,1.0,15.0,122.0,15.0,114.30000000000001,7.3,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,7.0,3.5999999999999996,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.35
Al0.4In0.6P1,2.19,0.5799999999999998,1.951,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,120.30000000000001,13.3,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,7.0,3.5999999999999996,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.12
Al0.5Ga0.5As1,2.18,0.5700000000000001,1.945,2.18,4.0,1.0,13.0,14.0,1.0,15.0,122.0,3.0,120.25,1.25,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,15.0,12.0,11.5,4.25,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.12
Al0.6Ga0.4As1,2.18,0.5700000000000001,1.935,2.18,4.0,1.0,13.0,14.0,1.0,15.0,122.0,3.0,120.2,1.2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,15.0,12.0,11.0,4.8,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.3
Al0.6Ga0.4P1,2.19,0.5799999999999998,1.94,2.19,4.0,1.0,13.0,14.0,1.0,15.0,122.0,15.0,114.2,7.2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,6.0,2.8,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.4
Al0.6In0.4P1,2.19,0.5799999999999998,1.934,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,118.2,11.2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,6.0,2.8,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.3
Al0.75Ga0.25As1,2.18,0.5700000000000001,1.9200000000000002,2.18,4.0,1.0,13.0,14.0,1.0,15.0,122.0,3.0,120.125,1.125,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,15.0,12.0,10.25,5.4375,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.42
Al0.7In0.3P1,2.19,0.5799999999999998,1.9255,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,117.14999999999999,10.149999999999999,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,5.5,2.25,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.3
Al0.8Ga0.2P1,2.19,0.5799999999999998,1.9200000000000002,2.19,4.0,1.0,13.0,14.0,1.0,15.0,122.0,15.0,114.10000000000001,7.1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,5.0,1.6,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.43
Al0.99Cd0.01Sb0.99Te0.01,2.1,0.49,1.8306499999999999,1.61,5.0,2.0,12.0,13.999999999999998,1.01,13.0,144.0,23.0,130.10999999999999,9.0189,2.0,2.0,2.0,2.0,4.0,2.0,1.01,3.0,16.0,13.0,9.049999999999999,5.9895,5.0,5.0,3.9699999999999998,1.0197,5.0,3.9699999999999998,1.0197,2.21
Al0.99Ga0.01P1,2.19,0.5799999999999998,1.901,2.19,4.0,1.0,13.0,14.0,1.0,15.0,122.0,15.0,114.005,7.005,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,4.05,1.0394999999999999,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.49
Al0.99In0.01P1,2.19,0.5799999999999998,1.9008500000000002,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,114.10499999999999,7.105,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,4.05,1.0394999999999999,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.4
Al2S3,2.58,0.97,2.192,2.58,3.0,0.0,13.0,14.8,1.44,16.0,121.0,16.0,111.4,7.6800000000000015,2.0,2.0,2.0,2.0,3.0,2.8,1.44,3.0,6.0,3.0,4.8,1.44,5.0,3.0,3.2,1.44,5.0,3.2,1.44,4.1
Al2Se3,2.55,0.9399999999999997,2.174,2.55,4.0,1.0,13.0,14.8,1.44,16.0,121.0,1.0,120.4,0.48000000000000115,2.0,2.0,2.0,2.0,3.0,2.8,1.44,3.0,16.0,13.0,10.8,6.24,5.0,3.0,3.2,1.44,5.0,3.2,1.44,3.1
AlAgO2,3.44,1.8299999999999998,2.605,3.44,5.0,3.0,11.0,14.0,2.0,16.0,145.0,79.0,99.5,33.5,1.0,2.0,1.75,2.0,4.0,2.25,1.75,3.0,11.0,8.0,6.5,2.25,5.0,5.0,2.25,1.375,5.0,2.5,1.25,3.6
AlAgS2,2.58,0.97,2.175,2.58,5.0,2.0,11.0,14.0,2.0,16.0,145.0,40.0,119.0,14.0,1.0,2.0,1.75,2.0,4.0,2.25,1.75,3.0,11.0,8.0,6.5,2.25,5.0,5.0,2.25,1.375,5.0,2.5,1.25,3.13
AlAgSe2,2.55,0.9399999999999997,2.16,2.55,5.0,2.0,11.0,14.0,2.0,16.0,145.0,25.0,126.5,9.25,1.0,2.0,1.75,2.0,4.0,2.25,1.75,3.0,16.0,13.0,11.5,4.5,5.0,5.0,2.25,1.375,5.0,2.5,1.25,2.55
AlAgTe2,2.1,0.49,1.935,2.1,5.0,2.0,11.0,14.0,2.0,16.0,145.0,24.0,135.5,7.25,1.0,2.0,1.75,2.0,4.0,2.25,1.75,3.0,16.0,13.0,11.5,4.5,5.0,5.0,2.25,1.375,5.0,2.5,1.25,1.8
AlBi,2.02,0.4099999999999999,1.815,1.61,6.0,3.0,13.0,14.0,1.0,13.0,148.0,27.0,134.5,13.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,29.0,26.0,16.0,13.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,0.4
AlCuS2,2.58,0.97,2.1675,2.58,4.0,1.0,11.0,14.0,2.0,16.0,132.0,27.0,115.75,10.75,1.0,2.0,1.75,2.0,4.0,2.25,1.75,3.0,11.0,8.0,6.5,2.25,5.0,5.0,2.25,1.375,5.0,2.5,1.25,3.5
AlCuTe2,2.1,0.49,1.9275,2.1,5.0,2.0,11.0,14.0,2.0,16.0,138.0,17.0,132.25,5.75,1.0,2.0,1.75,2.0,4.0,2.25,1.75,3.0,16.0,13.0,11.5,4.5,5.0,5.0,2.25,1.375,5.0,2.5,1.25,2.06
AlV(TeO4)2,3.44,1.8299999999999998,2.9133333333333336,3.44,5.0,3.0,5.0,14.833333333333334,1.944444444444444,16.0,153.0,87.0,89.83333333333333,31.777777777777775,2.0,2.0,2.0,2.0,4.0,3.4166666666666665,0.9722222222222223,3.0,16.0,13.0,7.333333333333333,2.888888888888889,5.0,5.0,2.0833333333333335,0.4861111111111112,7.0,2.6666666666666665,1.111111111111111,2.9
As2Ir,2.2,0.020000000000000018,2.186666666666667,2.18,6.0,2.0,9.0,13.0,2.6666666666666665,15.0,141.0,22.0,126.33333333333333,9.777777777777777,2.0,2.0,2.0,2.0,3.0,2.0,1.3333333333333333,15.0,23.0,8.0,17.666666666666668,3.555555555555556,3.0,3.0,2.0,1.3333333333333333,3.0,3.0,0.0,1.0
As2O3,3.44,1.2599999999999998,2.936,3.44,4.0,2.0,15.0,15.6,0.4800000000000001,16.0,119.0,53.0,87.2,25.44,2.0,2.0,2.0,2.0,1.0,3.6,0.48,6.0,15.0,9.0,9.6,4.32,3.0,1.0,2.4,0.48,3.0,2.4,0.48,4.0
As2Os,2.2,0.020000000000000018,2.186666666666667,2.18,6.0,2.0,8.0,12.666666666666666,3.111111111111111,15.0,144.0,25.0,127.33333333333333,11.111111111111109,2.0,2.0,2.0,2.0,3.0,2.0,1.3333333333333333,15.0,22.0,7.0,17.333333333333332,3.1111111111111107,3.0,3.0,2.0,1.3333333333333333,4.0,3.3333333333333335,0.4444444444444445,0.9
As2Rh,2.28,0.09999999999999964,2.2133333333333334,2.18,5.0,1.0,9.0,13.0,2.6666666666666665,15.0,142.0,23.0,126.66666666666667,10.222222222222223,1.0,2.0,1.6666666666666667,2.0,3.0,2.0,1.3333333333333333,9.0,15.0,6.0,13.0,2.6666666666666665,3.0,3.0,2.0,1.3333333333333333,3.0,3.0,0.0,1.15
As2Ru,2.2,0.020000000000000018,2.186666666666667,2.18,5.0,1.0,8.0,12.666666666666666,3.111111111111111,15.0,146.0,27.0,128.0,12.0,1.0,2.0,1.6666666666666667,2.0,3.0,2.0,1.3333333333333333,8.0,15.0,7.0,12.666666666666666,3.111111111111111,3.0,3.0,2.0,1.3333333333333333,4.0,3.3333333333333335,0.4444444444444445,0.8
As2S5,2.58,0.3999999999999999,2.4657142857142857,2.58,4.0,1.0,15.0,15.714285714285714,0.4081632653061228,16.0,119.0,14.0,109.0,5.714285714285714,2.0,2.0,2.0,2.0,1.0,3.7142857142857144,0.4081632653061224,6.0,15.0,9.0,8.571428571428571,3.673469387755102,3.0,1.0,2.2857142857142856,0.4081632653061224,3.0,2.2857142857142856,0.4081632653061224,2.48
AsBr3,2.96,0.7799999999999998,2.7649999999999997,2.96,4.0,0.0,15.0,16.5,0.75,17.0,120.0,1.0,119.75,0.375,2.0,2.0,2.0,2.0,2.0,4.5,0.75,15.0,17.0,2.0,16.5,0.75,3.0,2.0,1.5,0.75,3.0,1.5,0.75,2.6
AsOsS,2.58,0.3999999999999999,2.3200000000000003,2.18,6.0,3.0,8.0,13.0,3.3333333333333335,8.0,144.0,39.0,122.66666666666667,14.222222222222223,2.0,2.0,2.0,2.0,4.0,2.3333333333333335,1.5555555555555554,6.0,22.0,16.0,14.333333333333334,5.5555555555555545,3.0,3.0,1.6666666666666667,1.111111111111111,4.0,3.0,0.6666666666666666,1.3
AsP,2.19,0.009999999999999787,2.185,2.18,4.0,1.0,15.0,15.0,0.0,15.0,119.0,12.0,113.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,5.0,15.0,10.0,10.0,5.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.23
AsPPd,2.2,0.020000000000000018,2.19,2.18,5.0,2.0,10.0,13.333333333333334,2.222222222222222,10.0,139.0,32.0,121.66666666666667,11.555555555555557,0.0,2.0,1.3333333333333333,0.0,3.0,2.0,1.3333333333333333,5.0,15.0,10.0,10.0,3.3333333333333335,3.0,3.0,2.0,1.3333333333333333,3.0,2.0,1.3333333333333333,0.45
AsPPt,2.28,0.09999999999999964,2.216666666666667,2.18,6.0,3.0,10.0,13.333333333333334,2.222222222222222,10.0,136.0,29.0,120.66666666666667,10.222222222222223,1.0,2.0,1.6666666666666667,1.0,3.0,2.0,1.3333333333333333,5.0,24.0,19.0,14.666666666666666,6.4444444444444455,3.0,3.0,2.0,1.3333333333333333,3.0,2.6666666666666665,0.4444444444444445,0.4
AsPRu,2.2,0.020000000000000018,2.19,2.18,5.0,2.0,8.0,12.666666666666666,3.111111111111111,8.0,146.0,39.0,124.0,14.666666666666666,1.0,2.0,1.6666666666666667,1.0,3.0,2.0,1.3333333333333333,5.0,15.0,10.0,9.333333333333334,3.777777777777778,3.0,3.0,2.0,1.3333333333333333,4.0,3.3333333333333335,0.4444444444444445,0.8
AsRuS,2.58,0.3999999999999999,2.3200000000000003,2.18,5.0,2.0,8.0,13.0,3.3333333333333335,8.0,146.0,41.0,123.33333333333333,15.111111111111109,1.0,2.0,1.6666666666666667,1.0,4.0,2.3333333333333335,1.5555555555555554,6.0,15.0,9.0,9.666666666666666,3.5555555555555554,3.0,3.0,1.6666666666666667,1.111111111111111,4.0,3.0,0.6666666666666666,1.2
