composition,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum Row,MagpieData range Row,MagpieData minimum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,gap expt
BaLa2Te5O14,3.44,2.55,2.8068181818181817,3.44,6.0,4.0,2.0,14.181818181818182,3.1404958677685952,16.0,215.0,149.0,101.95454545454545,45.760330578512395,2.0,2.0,2.0,2.0,4.0,3.4545454545454546,0.9421487603305785,2.0,16.0,14.0,7.818181818181818,3.7190082644628095,2.0,2.0,1.7272727272727273,0.47107438016528924,9.0,2.5454545454545454,1.1735537190082646,3.81
BaGa4S7,2.58,1.69,2.1825000000000006,2.58,6.0,3.0,2.0,13.833333333333334,2.5277777777777777,16.0,215.0,110.0,119.83333333333333,17.305555555555554,2.0,2.0,2.0,2.0,4.0,2.6666666666666665,1.5555555555555554,2.0,13.0,11.0,8.0,3.3333333333333335,5.0,5.0,2.8333333333333335,1.4444444444444446,5.0,2.8333333333333335,1.4444444444444446,3.54
CsRb(PSe4)2,2.55,1.7599999999999998,2.1991666666666667,2.55,6.0,3.0,1.0,13.333333333333334,4.111111111111111,16.0,244.0,137.0,136.5,31.833333333333332,1.0,2.0,1.8333333333333333,2.0,4.0,3.1666666666666665,1.1111111111111112,1.0,16.0,15.0,11.666666666666666,5.777777777777779,3.0,3.0,1.8333333333333333,0.6111111111111112,3.0,2.0,0.3333333333333333,2.41
ZnSb,2.05,0.3999999999999999,1.8499999999999999,1.65,5.0,1.0,12.0,13.5,1.5,12.0,139.0,17.0,130.5,8.5,2.0,2.0,2.0,2.0,3.0,1.5,1.5,12.0,15.0,3.0,13.5,1.5,3.0,3.0,1.5,1.5,3.0,1.5,1.5,1.05
Al0.01In0.99P1,2.19,0.5799999999999998,1.98415,2.19,5.0,2.0,13.0,14.0,1.0,15.0,142.0,35.0,124.39500000000001,17.42895,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,13.0,10.0,8.95,4.0095,5.0,2.0,4.0,1.0,5.0,4.0,1.0,1.3
K2PAuS4,2.58,1.7600000000000002,2.08625,2.58,6.0,3.0,1.0,11.5,5.375,16.0,203.0,98.0,133.625,35.28125,1.0,2.0,1.625,2.0,4.0,2.375,1.78125,1.0,25.0,24.0,7.0,4.5,3.0,3.0,1.375,1.03125,3.0,1.75,0.5625,2.63
K2Gd2Sb2Se9,2.55,1.73,2.0726666666666667,2.55,6.0,2.0,1.0,12.133333333333333,5.404444444444445,16.0,203.0,83.0,143.73333333333332,29.742222222222214,1.0,2.0,1.8666666666666667,2.0,4.0,2.8,1.4933333333333332,1.0,16.0,15.0,13.066666666666666,4.035555555555556,3.0,3.0,1.6,0.8533333333333333,16.0,3.8666666666666667,3.2355555555555555,1.33
CsLaHgSe3,2.55,1.7599999999999998,1.9233333333333331,2.55,6.0,2.0,1.0,10.666666666666666,5.777777777777778,16.0,244.0,124.0,157.16666666666666,45.55555555555555,1.0,2.0,1.8333333333333333,2.0,4.0,2.0,2.0,1.0,26.0,25.0,13.0,7.333333333333333,2.0,2.0,1.0,1.0,9.0,2.6666666666666665,2.111111111111111,2.46
VIn(NiO3)2,3.44,1.81,2.787,3.44,5.0,3.0,5.0,13.4,3.12,16.0,153.0,87.0,93.9,33.480000000000004,2.0,2.0,2.0,2.0,4.0,2.5,1.8,5.0,13.0,8.0,7.4,2.16,5.0,5.0,1.7,1.02,7.0,2.8,1.2799999999999998,1.92
Ba2In2Se5,2.55,1.6599999999999997,2.01,2.55,6.0,2.0,2.0,12.222222222222221,4.5432098765432105,16.0,215.0,95.0,146.0,30.666666666666668,2.0,2.0,2.0,2.0,4.0,2.4444444444444446,1.728395061728395,2.0,16.0,14.0,12.222222222222221,4.5432098765432105,5.0,5.0,2.2222222222222223,1.2345679012345678,5.0,2.2222222222222223,1.2345679012345678,2.12
Ta7Cu3O19,3.44,1.94,2.8124137931034485,3.44,6.0,4.0,5.0,12.827586206896552,4.156956004756243,16.0,170.0,104.0,97.93103448275862,41.840665873959566,1.0,2.0,1.896551724137931,2.0,4.0,2.6206896551724137,1.807372175980975,6.0,19.0,13.0,9.655172413793103,4.789536266349584,2.0,2.0,1.3103448275862069,0.9036860879904876,7.0,3.103448275862069,1.8810939357907253,2.47
La10Se14O,3.44,2.34,2.0056,2.55,6.0,4.0,3.0,10.8,6.239999999999998,16.0,207.0,141.0,152.64,43.48799999999999,2.0,2.0,2.0,2.0,4.0,2.4,1.9200000000000004,3.0,16.0,13.0,10.4,6.271999999999999,2.0,2.0,1.2,0.9600000000000002,9.0,4.8,3.3599999999999994,2.04
CdP4PbO12,3.44,1.75,3.0033333333333334,3.44,6.0,4.0,12.0,15.444444444444445,0.7407407407407407,16.0,146.0,80.0,83.88888888888889,23.85185185185185,2.0,2.0,2.0,2.0,4.0,3.4444444444444446,0.7407407407407407,5.0,28.0,23.0,7.333333333333333,2.814814814814815,4.0,4.0,2.2222222222222223,0.54320987654321,4.0,2.2222222222222223,0.54320987654321,4.85
VCu3S4,2.58,0.9500000000000002,2.20625,2.58,4.0,1.0,5.0,12.75,3.25,16.0,153.0,48.0,121.125,16.125,1.0,2.0,1.625,2.0,4.0,2.0,2.0,5.0,11.0,6.0,7.75,2.4375,2.0,2.0,1.0,1.0,7.0,2.25,1.1875,1.0
Bi0.2Sb1.8Te3,2.1,0.08000000000000007,2.0788,2.1,6.0,1.0,15.0,15.6,0.4800000000000001,16.0,148.0,10.0,138.76,0.9119999999999981,2.0,2.0,2.0,2.0,1.0,3.6,0.4800000000000001,15.0,29.0,14.0,16.16,1.0272000000000001,3.0,1.0,2.4,0.4800000000000001,3.0,2.4,0.4800000000000001,0.28
Zn0.9Ga0.1P0.1S0.9,2.58,0.9300000000000002,2.1035,1.65,4.0,1.0,12.0,14.0,1.9,12.0,122.0,17.0,113.6,8.4,2.0,2.0,2.0,2.0,4.0,2.0,1.9,5.0,13.0,8.0,9.0,3.1,5.0,5.0,1.3,1.1700000000000002,5.0,1.3,1.1700000000000002,2.8
Sb5IO7,3.44,1.3900000000000001,2.845384615384615,3.44,5.0,3.0,15.0,15.692307692307692,0.532544378698225,16.0,139.0,73.0,99.6923076923077,36.28402366863906,2.0,2.0,2.0,2.0,2.0,3.6923076923076925,0.5325443786982248,6.0,17.0,11.0,10.307692307692308,4.63905325443787,3.0,2.0,2.3076923076923075,0.5325443786982248,3.0,2.3076923076923075,0.5325443786982248,1.95
Rb2Ti(AgS2)2,2.58,1.7600000000000002,1.9288888888888889,2.58,5.0,2.0,1.0,10.222222222222221,5.481481481481482,16.0,220.0,115.0,145.55555555555554,36.29629629629629,1.0,2.0,1.5555555555555556,2.0,4.0,1.7777777777777777,1.9753086419753088,1.0,11.0,10.0,5.777777777777778,2.5185185185185186,2.0,2.0,0.8888888888888888,0.9876543209876544,8.0,2.2222222222222223,1.2839506172839505,2.33
SrTaNO2,3.44,2.49,2.474,3.44,6.0,4.0,2.0,10.8,5.84,16.0,195.0,129.0,113.6,55.120000000000005,2.0,2.0,2.0,2.0,4.0,2.2,1.7600000000000002,2.0,19.0,17.0,7.6,4.5600000000000005,3.0,3.0,1.4,1.12,7.0,2.8,1.7600000000000002,1.99
Bi2Te0.1Se2.9,2.55,0.5299999999999998,2.3289999999999997,2.55,6.0,2.0,15.0,15.6,0.4800000000000001,16.0,148.0,28.0,131.56,13.409600000000001,2.0,2.0,2.0,2.0,1.0,3.6,0.48,16.0,29.0,13.0,21.2,6.24,3.0,1.0,2.4,0.48,3.0,2.4,0.48,0.78
K2VAgS4,2.58,1.7600000000000002,1.94,2.58,5.0,2.0,1.0,10.25,5.9375,16.0,203.0,98.0,140.5,35.5,1.0,2.0,1.625,2.0,4.0,2.0,2.0,1.0,11.0,10.0,5.25,2.1875,2.0,2.0,1.0,1.0,7.0,2.25,1.1875,1.85
Bi2Te0.6Se2.4,2.55,0.5299999999999998,2.284,2.55,6.0,2.0,15.0,15.6,0.4800000000000001,16.0,148.0,28.0,133.35999999999999,12.8256,2.0,2.0,2.0,2.0,1.0,3.6,0.48,16.0,29.0,13.0,21.2,6.24,3.0,1.0,2.4,0.48,3.0,2.4,0.48,0.28
VBi24O41,3.44,1.81,2.8962121212121215,3.44,6.0,4.0,5.0,15.469696969696969,0.6588613406795227,16.0,153.0,87.0,97.13636363636364,38.68457300275482,2.0,2.0,2.0,2.0,4.0,3.5757575757575757,0.527089072543618,5.0,29.0,24.0,14.348484848484848,10.65564738292011,3.0,3.0,2.3333333333333335,0.48484848484848486,7.0,2.4393939393939394,0.5459136822773186,3.25
Ge0.01Pb0.99Se1,2.55,0.54,2.4383999999999997,2.55,6.0,2.0,14.0,15.0,1.0,16.0,146.0,26.0,132.87,12.9987,2.0,2.0,2.0,2.0,2.0,3.0,1.0,14.0,28.0,14.0,21.93,6.0093,4.0,2.0,3.0,1.0,4.0,3.0,1.0,0.27
KPPbO4,3.44,2.62,2.7285714285714286,3.44,6.0,4.0,1.0,13.428571428571429,3.551020408163265,16.0,203.0,137.0,102.85714285714286,42.122448979591844,1.0,2.0,1.8571428571428572,2.0,4.0,3.0,1.1428571428571428,1.0,28.0,27.0,8.285714285714286,5.63265306122449,4.0,4.0,2.142857142857143,0.7755102040816327,4.0,2.2857142857142856,0.6938775510204082,4.44
Cd4P2I3,2.66,0.9700000000000002,2.1244444444444444,1.69,5.0,2.0,12.0,14.333333333333334,2.074074074074074,12.0,144.0,37.0,134.11111111111111,12.049382716049381,2.0,2.0,2.0,2.0,5.0,2.3333333333333335,2.0740740740740744,5.0,17.0,12.0,12.11111111111111,3.259259259259259,3.0,3.0,1.0,0.8888888888888888,3.0,1.0,0.8888888888888888,2.17
Cd0.05In0.95Te0.05As0.95,2.18,0.4900000000000002,1.9757500000000001,1.78,5.0,1.0,12.0,14.0,1.05,13.0,144.0,25.0,131.025,11.423749999999998,2.0,2.0,2.0,2.0,4.0,1.9999999999999998,1.05,12.0,16.0,4.0,14.0,1.05,5.0,5.0,3.8499999999999996,1.0924999999999998,5.0,3.8499999999999996,1.0924999999999998,0.68
K4(ZrSe5)3,2.55,1.73,2.069090909090909,2.55,5.0,1.0,1.0,11.636363636363637,5.950413223140496,16.0,203.0,83.0,142.5909090909091,30.805785123966942,1.0,2.0,1.8181818181818181,2.0,4.0,2.727272727272727,1.7355371900826448,1.0,16.0,15.0,11.636363636363637,5.950413223140496,2.0,2.0,1.3636363636363635,0.8677685950413224,8.0,2.6363636363636362,1.4628099173553715,1.81
Hg3PS3,2.58,0.5800000000000001,2.275714285714286,2.0,6.0,3.0,12.0,14.142857142857142,1.836734693877551,12.0,132.0,27.0,116.85714285714286,12.979591836734695,2.0,2.0,2.0,2.0,4.0,2.142857142857143,1.836734693877551,5.0,26.0,21.0,14.428571428571429,9.918367346938776,3.0,3.0,1.2857142857142858,1.1020408163265307,3.0,1.2857142857142858,1.1020408163265307,1.98
HgBr2,2.96,0.96,2.64,2.96,6.0,2.0,12.0,15.333333333333334,2.222222222222222,17.0,132.0,12.0,124.0,5.333333333333333,2.0,2.0,2.0,2.0,5.0,3.3333333333333335,2.222222222222222,17.0,26.0,9.0,20.0,4.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.6666666666666666,0.4444444444444445,3.59
Bi2SI2O11,3.44,1.42,3.11125,3.44,6.0,4.0,15.0,16.0,0.25,16.0,148.0,82.0,87.8125,29.9921875,2.0,2.0,2.0,2.0,2.0,4.0,0.25,6.0,29.0,23.0,10.25,6.375,3.0,2.0,2.0,0.25,3.0,2.0,0.25,3.74
Pr2Te4O11,3.44,2.31,2.8529411764705883,3.44,6.0,4.0,3.0,14.470588235294118,2.6989619377162626,16.0,203.0,137.0,99.05882352941177,42.78200692041522,2.0,2.0,2.0,2.0,4.0,3.5294117647058822,0.8304498269896194,5.0,16.0,11.0,8.235294117647058,3.653979238754325,2.0,2.0,1.7647058823529411,0.4152249134948097,11.0,3.0588235294117645,1.8685121107266434,3.65
Ba3BSbSe6,2.55,1.6599999999999997,2.0054545454545454,2.55,6.0,4.0,2.0,11.818181818181818,5.355371900826446,16.0,215.0,131.0,144.36363636363637,38.528925619834716,2.0,2.0,2.0,2.0,4.0,2.5454545454545454,1.6694214876033058,2.0,16.0,14.0,10.909090909090908,6.297520661157026,5.0,5.0,1.8181818181818181,0.9917355371900828,5.0,1.8181818181818181,0.9917355371900828,1.89
SiSb,2.05,0.1499999999999999,1.9749999999999999,1.9,5.0,2.0,14.0,14.5,0.5,14.0,139.0,28.0,125.0,14.0,2.0,2.0,2.0,2.0,1.0,2.5,0.5,4.0,15.0,11.0,9.5,5.5,4.0,1.0,3.5,0.5,4.0,3.5,0.5,1.9
Ga4Cu2Te7,2.1,0.29000000000000004,1.9800000000000002,2.1,5.0,1.0,11.0,14.307692307692308,1.8224852071005917,16.0,138.0,16.0,132.15384615384616,6.29585798816568,1.0,2.0,1.8461538461538463,2.0,4.0,2.4615384615384617,1.6568047337278107,11.0,16.0,5.0,14.307692307692308,1.8224852071005917,5.0,5.0,2.6153846153846154,1.4674556213017753,5.0,2.769230769230769,1.3727810650887575,1.08
Ga0.005Te1Pb0.995,2.33,0.52,2.2137000000000002,2.1,6.0,2.0,13.0,14.9975,1.0025,16.0,146.0,24.0,141.94,4.0397,2.0,2.0,2.0,2.0,3.0,2.9975,1.0025,13.0,28.0,15.0,21.9625,6.007312499999999,5.0,3.0,3.0025,1.0025,5.0,3.0025,1.0025,0.37
NaSbF6,3.98,3.05,3.3575,3.98,5.0,3.0,1.0,14.75,3.4375,17.0,166.0,109.0,80.875,35.8125,1.0,2.0,1.875,2.0,5.0,4.125,1.3125,1.0,15.0,14.0,7.25,1.9375,3.0,3.0,1.125,0.46875,3.0,1.25,0.4375,3.76
Cs2La1.19Bi8.81S16,2.58,1.79,2.2130428571428573,2.58,6.0,3.0,1.0,14.061428571428573,2.8061397959183663,16.0,244.0,139.0,132.7932142857143,31.763673469387754,1.0,2.0,1.9285714285714286,2.0,4.0,3.2296428571428573,0.8804081632653061,1.0,29.0,28.0,12.752142857142857,10.224544387755103,3.0,3.0,2.0867857142857145,0.5746727040816327,9.0,2.540714285714286,0.838061224489796,1.0
Ca(NdS2)2,2.58,1.58,1.9428571428571428,2.58,6.0,3.0,2.0,10.285714285714286,6.530612244897959,16.0,201.0,96.0,142.57142857142858,42.93877551020408,2.0,2.0,2.0,2.0,4.0,2.2857142857142856,1.959183673469388,2.0,6.0,4.0,5.428571428571429,0.9795918367346937,2.0,2.0,1.1428571428571428,0.979591836734694,10.0,4.0,3.4285714285714284,2.7
Ba2In2S5,2.58,1.69,2.026666666666667,2.58,6.0,3.0,2.0,12.222222222222221,4.5432098765432105,16.0,215.0,110.0,137.66666666666666,36.29629629629629,2.0,2.0,2.0,2.0,4.0,2.4444444444444446,1.728395061728395,2.0,13.0,11.0,6.666666666666667,2.814814814814815,5.0,5.0,2.2222222222222223,1.2345679012345678,5.0,2.2222222222222223,1.2345679012345678,2.47
Si0.8Ge0.2,2.01,0.10999999999999988,1.922,1.9,4.0,1.0,14.0,14.000000000000002,1.7763568394002505e-15,14.0,120.0,9.0,112.80000000000001,2.880000000000007,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,14.0,10.0,6.0,3.2,4.0,0.0,4.0,0.0,4.0,4.0,0.0,1.1
NdLuSe3,2.55,1.41,2.0119999999999996,2.55,6.0,2.0,3.0,10.8,6.24,16.0,201.0,81.0,149.6,35.519999999999996,2.0,2.0,2.0,2.0,4.0,2.4,1.9200000000000004,6.0,17.0,11.0,14.2,3.2800000000000002,2.0,2.0,1.2,0.9600000000000002,10.0,5.0,3.6,1.61
Eu(GaTe2)2,2.1,0.915,1.8864285714285713,2.1,6.0,2.0,3.0,13.285714285714286,3.102040816326531,16.0,198.0,76.0,142.0,16.0,2.0,2.0,2.0,2.0,4.0,2.5714285714285716,1.6326530612244898,9.0,16.0,7.0,14.142857142857142,2.122448979591837,5.0,5.0,2.5714285714285716,1.3877551020408165,7.0,3.5714285714285716,1.7959183673469388,1.7
KIn(TeO3)2,3.44,2.62,2.744,3.44,5.0,3.0,1.0,14.2,2.8800000000000003,16.0,203.0,137.0,101.7,42.839999999999996,1.0,2.0,1.9,2.0,4.0,3.3,1.12,1.0,16.0,15.0,8.2,4.08,5.0,5.0,2.1,0.5800000000000001,5.0,2.2,0.5600000000000002,4.0
Ba2DyGaSe5,2.55,1.6599999999999997,1.9511111111111115,2.55,6.0,2.0,2.0,11.11111111111111,5.851851851851852,16.0,215.0,95.0,149.33333333333334,38.666666666666664,2.0,2.0,2.0,2.0,4.0,2.3333333333333335,1.8518518518518516,2.0,16.0,14.0,12.11111111111111,4.518518518518519,5.0,5.0,1.6666666666666667,1.111111111111111,5.0,2.111111111111111,1.0617283950617284,2.35
Ba3P3ClO10,3.44,2.55,2.7529411764705882,3.44,6.0,4.0,2.0,13.411764705882353,4.0276816608996535,16.0,215.0,149.0,101.6470588235294,41.937716262975776,2.0,2.0,2.0,2.0,5.0,3.176470588235294,1.1833910034602078,2.0,7.0,5.0,5.176470588235294,1.1833910034602075,3.0,3.0,1.7647058823529411,0.71280276816609,3.0,1.7647058823529411,0.71280276816609,6.89
KBaAsSe3,2.55,1.73,1.9233333333333331,2.55,6.0,2.0,1.0,11.0,6.333333333333333,16.0,215.0,96.0,149.5,39.666666666666664,1.0,2.0,1.8333333333333333,2.0,4.0,2.5,1.6666666666666667,1.0,16.0,15.0,11.0,6.333333333333333,3.0,3.0,1.5,1.0,3.0,1.6666666666666667,0.7777777777777778,2.26
LiSiB6,2.04,1.06,1.8900000000000001,2.04,3.0,1.0,1.0,11.625,2.65625,13.0,128.0,44.0,92.875,13.3125,1.0,2.0,1.875,2.0,2.0,1.0,0.25,1.0,4.0,3.0,2.875,0.46875,5.0,5.0,4.25,1.125,5.0,4.375,0.9375,2.27
BSb,2.05,0.009999999999999787,2.045,2.04,5.0,3.0,13.0,14.0,1.0,13.0,139.0,55.0,111.5,27.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,15.0,12.0,9.0,6.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.6
NaCdAsS3,2.58,1.65,2.0900000000000003,2.58,5.0,2.0,1.0,12.666666666666666,4.111111111111112,16.0,166.0,61.0,124.0,20.666666666666668,1.0,2.0,1.8333333333333333,2.0,4.0,2.5,1.6666666666666667,1.0,15.0,14.0,7.666666666666667,3.888888888888889,3.0,3.0,1.5,1.0,3.0,1.6666666666666667,0.7777777777777778,2.93
KFe2BiO5,3.44,2.62,2.6333333333333333,3.44,6.0,4.0,1.0,12.444444444444445,4.518518518518519,16.0,203.0,137.0,105.0,43.333333333333336,1.0,2.0,1.8888888888888888,2.0,4.0,2.5555555555555554,1.7037037037037037,1.0,29.0,28.0,8.444444444444445,4.567901234567902,3.0,3.0,1.4444444444444444,0.9629629629629629,4.0,2.4444444444444446,0.8148148148148149,1.76
Sn2S,2.58,0.6200000000000001,2.1666666666666665,1.96,5.0,2.0,14.0,14.666666666666666,0.8888888888888887,14.0,139.0,34.0,127.66666666666667,15.111111111111109,2.0,2.0,2.0,2.0,2.0,2.6666666666666665,0.8888888888888888,6.0,14.0,8.0,11.333333333333334,3.5555555555555554,4.0,2.0,3.3333333333333335,0.8888888888888888,4.0,3.3333333333333335,0.8888888888888888,0.85
Cd2InAgTe3,2.1,0.41000000000000014,1.912857142857143,2.1,5.0,0.0,11.0,13.714285714285714,1.9591836734693877,16.0,145.0,7.0,141.28571428571428,2.8163265306122462,1.0,2.0,1.8571428571428572,2.0,4.0,1.8571428571428572,1.836734693877551,11.0,16.0,5.0,13.714285714285714,1.9591836734693877,5.0,5.0,1.5714285714285714,1.346938775510204,5.0,1.7142857142857142,1.1836734693877549,0.47
ZnCu2GeS4,2.58,0.9300000000000002,2.2225,2.58,4.0,1.0,11.0,14.0,2.0,16.0,132.0,27.0,115.75,10.75,1.0,2.0,1.75,2.0,4.0,2.25,1.75,6.0,14.0,8.0,9.0,3.0,4.0,4.0,1.5,1.125,4.0,1.75,0.8125,2.1
V2Pb4(Se2O7)3,3.44,1.81,3.0339393939393937,3.44,6.0,4.0,5.0,15.090909090909092,1.4876033057851235,16.0,153.0,87.0,90.78787878787878,31.54820936639118,2.0,2.0,2.0,2.0,4.0,3.515151515151515,0.793388429752066,5.0,28.0,23.0,10.424242424242424,6.288337924701561,4.0,4.0,2.121212121212121,0.45546372819100084,7.0,2.5454545454545454,0.8925619834710743,3.37
Ga1As0.6P0.4,2.19,0.3799999999999999,1.997,1.81,4.0,1.0,13.0,14.0,1.0,13.0,122.0,15.0,118.1,4.440000000000003,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,15.0,10.0,12.0,2.8,5.0,2.0,4.0,1.0,5.0,4.0,1.0,1.91
NaGaGe3Se8,2.55,1.6199999999999997,2.2438461538461536,2.55,4.0,1.0,1.0,14.153846153846153,2.272189349112426,16.0,166.0,46.0,123.6923076923077,6.508875739644972,1.0,2.0,1.9230769230769231,2.0,4.0,3.0,1.2307692307692308,1.0,16.0,15.0,14.153846153846153,2.272189349112426,5.0,5.0,2.5384615384615383,1.0532544378698225,5.0,2.6153846153846154,1.0059171597633136,2.35
CsNbSe2O7,3.44,2.65,2.87,3.44,6.0,4.0,1.0,13.636363636363637,3.8677685950413223,16.0,244.0,178.0,100.9090909090909,44.429752066115704,1.0,2.0,1.8181818181818181,2.0,4.0,3.272727272727273,1.190082644628099,1.0,16.0,15.0,7.2727272727272725,3.173553719008264,2.0,2.0,1.6363636363636365,0.5950413223140495,7.0,2.3636363636363638,0.8429752066115703,4.2
ErB6,2.04,0.8,1.9257142857142857,2.04,6.0,4.0,3.0,11.571428571428571,2.448979591836735,13.0,189.0,105.0,99.0,25.714285714285715,2.0,2.0,2.0,2.0,1.0,0.8571428571428571,0.2448979591836735,3.0,14.0,11.0,4.571428571428571,2.6938775510204076,5.0,5.0,4.285714285714286,1.2244897959183676,5.0,4.571428571428571,0.7346938775510206,3.5
KCu3S2,2.58,1.7600000000000002,1.9466666666666665,1.9,4.0,1.0,1.0,11.0,3.3333333333333335,11.0,203.0,98.0,134.83333333333334,22.72222222222223,1.0,2.0,1.3333333333333333,1.0,4.0,1.3333333333333333,1.777777777777778,1.0,11.0,10.0,7.666666666666667,3.3333333333333335,2.0,2.0,0.6666666666666666,0.888888888888889,2.0,1.3333333333333333,0.4444444444444444,1.46
