composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData avg_dev Column,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,is_metal
TmMgAg2,12.0,69.0,57.0,43.75,15.875,47.0,37.0,68.0,58.75,10.875,65.0,923.0,1818.0,895.0,1302.7150000000001,257.64250000000004,1234.93,4.25,141.0,190.0,49.0,155.25,17.375,145.0,1.93,0.6799999999999999,1.605,1.93,2.0,1.5,1.0,2.0,15.0,13.0,9.75,3.875,11.0,1.0,0.75,16.33,29.78,21.3325,5.002500000000001,16.33,194.0,225.0,True
Bi0.4Sb1.6Te3,51.0,83.0,32.0,54.160000000000004,4.614400000000003,52.0,85.0,90.0,88.08,2.3040000000000003,90.0,544.4,903.78,359.38,766.3576,87.95033600000004,722.66,0.4800000000000001,138.0,148.0,10.0,139.12,1.4208000000000038,138.0,2.1,0.08000000000000007,2.0776000000000003,2.1,2.0,2.0,2.0,15.0,29.0,14.0,16.72,1.9647999999999992,16.0,3.0,2.4,31.56,34.7633333333,33.59319999998,1.4041599999839982,34.7633333333,12.0,166.0,False
Ti2ZnS4,16.0,30.0,14.0,19.714285714285715,4.244897959183674,16.0,43.0,88.0,72.42857142857143,17.79591836734694,88.0,388.36,1941.0,1552.6399999999999,875.4457142857144,608.8881632653062,388.36,4.571428571428571,105.0,160.0,55.0,123.14285714285714,21.061224489795915,105.0,2.58,1.04,2.15,2.58,2.0,2.0,2.0,4.0,12.0,8.0,6.285714285714286,1.6326530612244896,6.0,8.0,3.4285714285714284,13.96,25.786875,21.498214285714287,4.901326530612244,25.786875,70.0,194.0,True
BaNb4O6,8.0,56.0,48.0,24.363636363636363,17.85123966942149,8.0,9.0,87.0,65.36363636363636,23.603305785123965,87.0,54.8,2750.0,2695.2,1120.8,1184.8727272727274,54.8,5.75206611570248,66.0,215.0,149.0,115.18181818181819,53.65289256198348,66.0,3.44,2.55,2.539090909090909,3.44,2.0,1.6363636363636365,2.0,2.0,6.0,4.0,5.2727272727272725,0.793388429752066,6.0,7.0,3.6363636363636362,9.105,63.59,17.35818181818182,9.003471074380165,9.105,12.0,229.0,True
LiCuO2,3.0,29.0,26.0,12.0,8.5,8.0,1.0,87.0,59.75,29.375,87.0,54.8,1357.77,1302.97,480.265,438.75249999999994,54.8,5.0,66.0,132.0,66.0,98.0,32.0,66.0,3.44,2.46,2.44,3.44,2.0,1.5,2.0,1.0,11.0,10.0,6.0,2.5,6.0,2.0,1.5,9.105,16.5933333333,11.468333333324999,2.562499999987499,9.105,12.0,229.0,True
Dy(Al2Cu)4,13.0,66.0,53.0,22.0,11.076923076923077,13.0,31.0,73.0,67.0,7.384615384615385,73.0,933.47,1685.0,751.53,1121.8338461538463,231.83242603550298,933.47,1.7041420118343196,121.0,192.0,71.0,129.84615384615384,10.88757396449704,121.0,1.9,0.6799999999999999,1.6692307692307695,1.61,2.0,1.6923076923076923,2.0,3.0,12.0,9.0,6.153846153846154,3.881656804733728,3.0,5.0,3.6923076923076925,11.07,31.24,15.950769230769232,3.003550295857988,16.48,194.0,225.0,True
Li2Ni3TeO8,3.0,52.0,49.0,14.714285714285714,11.020408163265305,8.0,1.0,90.0,69.35714285714286,23.112244897959183,87.0,54.8,1728.0,1673.2,518.0314285714286,547.7906122448979,54.8,4.408163265306123,66.0,138.0,72.0,92.42857142857143,30.20408163265306,66.0,3.44,2.46,2.665,3.44,2.0,1.8571428571428572,2.0,1.0,16.0,15.0,6.857142857142857,2.6530612244897958,6.0,2.0,1.8571428571428572,9.105,34.7633333333,12.267857142850001,4.449489795907143,9.105,12.0,229.0,True
Al0.01Ga0.99P1,13.0,31.0,18.0,22.91,8.0091,15.0,73.0,83.0,78.495,4.505,83.0,302.91,933.47,630.56,313.2578,10.244321999999993,317.3,1.0,107.0,122.0,15.0,114.495,7.495,107.0,2.19,0.5799999999999998,1.999,2.19,2.0,2.0,2.0,3.0,13.0,10.0,8.95,4.0095,5.0,5.0,4.0,16.48,22.5702380952,20.7019815476,1.8682565475999995,22.5702380952,2.0,225.0,False
Ba4LiGa5Se12,3.0,56.0,53.0,35.90909090909091,7.305785123966941,34.0,1.0,89.0,67.04545454545455,27.111570247933887,89.0,302.91,1000.0,697.0899999999999,540.7381818181818,167.00429752066114,494.0,4.677685950413223,120.0,215.0,95.0,138.0909090909091,27.966942148760335,120.0,2.55,1.6599999999999997,2.0086363636363633,2.55,2.0,1.9545454545454546,2.0,1.0,16.0,15.0,12.090909090909092,4.677685950413223,16.0,5.0,2.272727272727273,16.5933333333,63.59,30.740037878786367,11.945440771350412,25.92,14.0,229.0,False
Ca2Sn2F3,9.0,50.0,41.0,23.857142857142858,14.938775510204081,9.0,7.0,93.0,64.71428571428571,32.9795918367347,93.0,53.5,1115.0,1061.5,485.8085714285714,370.5502040816326,53.5,5.63265306122449,57.0,176.0,119.0,114.42857142857143,49.224489795918366,57.0,3.98,2.98,2.551428571428571,3.98,2.0,2.0,2.0,2.0,14.0,12.0,7.571428571428571,3.673469387755102,7.0,4.0,1.5714285714285714,9.7075,37.77,24.461785714285718,12.646530612244899,9.7075,15.0,225.0,True
Rb4Ag9(SbS3)4,16.0,51.0,35.0,33.3448275862069,14.354340071343639,16.0,4.0,88.0,68.86206896551724,20.29013079667063,88.0,312.46,1234.93,922.47,711.7120689655173,377.7402140309156,388.36,3.8715814506539834,105.0,220.0,115.0,137.9655172413793,27.281807372175983,105.0,2.58,1.7600000000000002,2.0624137931034485,2.58,2.0,1.5517241379310345,2.0,1.0,15.0,14.0,8.10344827586207,3.7003567181926273,6.0,3.0,1.6896551724137931,16.33,90.7225,32.60491379310344,16.032437574316287,25.786875,70.0,229.0,False
Eu(LuSe2)2,34.0,71.0,37.0,48.714285714285715,16.816326530612248,34.0,25.0,89.0,66.14285714285714,26.122448979591837,89.0,494.0,1936.0,1442.0,991.8571428571429,568.9795918367347,494.0,6.36734693877551,120.0,198.0,78.0,150.28571428571428,34.61224489795918,120.0,2.55,1.3649999999999998,1.989285714285714,2.55,2.0,2.0,2.0,9.0,17.0,8.0,15.285714285714286,1.7959183673469383,16.0,9.0,4.714285714285714,25.92,36.46,28.267142857142858,2.6824489795918356,25.92,14.0,229.0,False
HoTiSi,14.0,67.0,53.0,34.333333333333336,21.777777777777782,14.0,33.0,78.0,51.333333333333336,17.77777777777778,33.0,1687.0,1941.0,254.0,1791.6666666666667,99.55555555555559,1687.0,4.666666666666667,111.0,192.0,81.0,154.33333333333334,28.888888888888886,111.0,1.9,0.6699999999999999,1.5566666666666666,1.23,2.0,2.0,2.0,4.0,13.0,9.0,7.0,4.0,4.0,8.0,5.0,16.69,30.7333333333,22.621111111100003,5.408148148133333,16.69,194.0,227.0,True
La3Mo4O16F,8.0,57.0,49.0,19.833333333333332,16.680555555555554,8.0,13.0,93.0,71.83333333333333,21.986111111111114,87.0,53.5,2896.0,2842.5,670.5541666666667,872.426736111111,54.8,4.6875,57.0,207.0,150.0,97.91666666666667,45.96527777777778,66.0,3.98,2.88,2.956666666666667,3.44,2.0,1.8333333333333333,2.0,3.0,7.0,4.0,5.666666666666667,0.6666666666666664,6.0,9.0,3.5,9.105,36.8975,13.701666666666666,6.461736111111111,9.105,12.0,229.0,False
Sm5Br11,35.0,62.0,27.0,43.4375,11.6015625,35.0,23.0,95.0,72.5,30.9375,95.0,265.8,1345.0,1079.2,603.05,463.71875,265.8,6.015625,120.0,198.0,78.0,144.375,33.515625,120.0,2.96,1.79,2.4006250000000002,2.96,2.0,2.0,2.0,8.0,17.0,9.0,14.1875,3.8671875,17.0,8.0,3.1875,29.48,33.23,30.651875,1.611328124999999,29.48,64.0,166.0,True
CePd5,46.0,58.0,12.0,48.0,3.3333333333333335,46.0,15.0,62.0,54.166666666666664,13.055555555555557,62.0,1071.0,1828.05,757.05,1701.875,210.29166666666663,1828.05,1.944444444444444,139.0,204.0,65.0,149.83333333333334,18.05555555555556,139.0,2.2,1.08,2.02,2.2,2.0,0.3333333333333333,0.0,4.0,10.0,6.0,9.0,1.6666666666666667,10.0,22.0,3.6666666666666665,14.41,37.24,18.215,6.341666666666666,14.41,194.0,225.0,True
La(SiOs)2,14.0,76.0,62.0,47.4,26.720000000000006,14.0,13.0,78.0,56.6,17.44,57.0,1193.0,3306.0,2113.0,2235.8,856.1600000000001,1687.0,3.6799999999999997,111.0,207.0,96.0,143.4,25.919999999999998,111.0,2.2,1.1,1.86,1.9,2.0,2.0,2.0,3.0,22.0,19.0,11.0,8.8,4.0,9.0,5.0,14.09,36.8975,21.1915,6.282400000000001,14.09,194.0,227.0,True
Ga0.01Te1Pb0.99,31.0,82.0,51.0,66.745,15.102450000000001,52.0,74.0,90.0,85.465,4.535,90.0,302.91,722.66,419.74999999999994,660.1465,62.51349999999998,722.66,1.005,122.0,146.0,24.0,141.88,4.0788,138.0,2.33,0.52,2.2124,2.1,2.0,2.0,2.0,13.0,28.0,15.0,21.924999999999997,6.01425,16.0,5.0,3.005,18.8575,34.7633333333,31.39040416665,3.3729291666499988,34.7633333333,64.0,225.0,False
SmCo2,27.0,62.0,35.0,38.666666666666664,15.555555555555555,27.0,23.0,58.0,46.333333333333336,15.555555555555555,58.0,1345.0,1768.0,423.0,1627.0,188.0,1768.0,2.6666666666666665,126.0,198.0,72.0,150.0,32.0,126.0,1.88,0.71,1.6433333333333333,1.88,2.0,2.0,2.0,8.0,9.0,1.0,8.666666666666666,0.44444444444444464,9.0,8.0,4.666666666666667,10.245,33.23,17.906666666666666,10.215555555555556,10.245,166.0,194.0,True
EuSn3,50.0,63.0,13.0,53.25,4.875,50.0,25.0,80.0,66.25,20.625,80.0,505.08,1095.0,589.9200000000001,652.56,221.21999999999997,505.08,4.125,139.0,198.0,59.0,153.75,22.125,139.0,1.96,0.7749999999999999,1.7662499999999999,1.96,2.0,2.0,2.0,9.0,14.0,5.0,12.75,1.875,14.0,7.0,4.75,33.285,36.46,34.07875,1.1906250000000025,33.285,141.0,229.0,True
K3Ta2AsSe11,19.0,73.0,54.0,35.88235294117647,8.73356401384083,34.0,3.0,89.0,68.70588235294117,28.06228373702422,89.0,336.53,3290.0,2953.4700000000003,830.2111764705883,609.3372318339101,494.0,5.529411764705882,119.0,203.0,84.0,140.47058823529412,29.017301038062282,120.0,2.55,1.73,2.099411764705882,2.55,2.0,1.8235294117647058,2.0,1.0,19.0,18.0,13.647058823529411,4.463667820069204,16.0,7.0,2.4705882352941178,18.12,73.1066666667,33.10911764706471,14.116782006930103,25.92,14.0,229.0,False
Zn0.15Cd0.85Se1,30.0,48.0,18.0,39.65,7.0975,34.0,69.0,89.0,79.425,9.575,89.0,494.0,692.68,198.67999999999995,551.4945,57.49450000000001,494.0,2.0,120.0,144.0,24.0,130.35,11.6025,120.0,2.55,0.8999999999999999,2.117,2.55,2.0,2.0,2.0,12.0,16.0,4.0,14.0,2.0,16.0,2.0,1.0,13.96,25.92,22.292375,3.6276250000000005,25.92,14.0,194.0,False
KTi2F7,9.0,22.0,13.0,12.6,5.04,9.0,3.0,93.0,74.0,26.6,93.0,53.5,1941.0,1887.5,459.303,592.6788,53.5,5.88,57.0,203.0,146.0,92.2,49.28,57.0,3.98,3.16,3.1759999999999997,3.98,2.0,1.9,2.0,1.0,7.0,6.0,5.8,1.6800000000000002,7.0,8.0,2.4,9.7075,73.1066666667,17.44391666667,11.132550000005999,9.7075,15.0,229.0,False
Sn0.03Te1Pb0.97,50.0,82.0,32.0,66.52,15.0156,52.0,80.0,90.0,85.485,4.515000000000001,90.0,505.08,722.66,217.57999999999998,660.2020499999999,62.45794999999998,722.66,1.0,138.0,146.0,8.0,141.89499999999998,3.9818499999999997,138.0,2.33,0.3700000000000001,2.2094500000000004,2.1,2.0,2.0,2.0,14.0,28.0,14.0,21.79,6.0237,16.0,4.0,3.0,28.11,34.7633333333,31.51429166665,3.3021629166504987,34.7633333333,141.0,225.0,False
Sb2S3,16.0,51.0,35.0,30.0,16.8,16.0,85.0,88.0,86.8,1.4400000000000006,88.0,388.36,903.78,515.42,594.528,247.40159999999997,388.36,0.4800000000000001,105.0,139.0,34.0,118.6,16.32,105.0,2.58,0.5300000000000002,2.368,2.58,2.0,2.0,2.0,6.0,15.0,9.0,9.6,4.32,6.0,3.0,2.4,25.786875,31.56,28.096125,2.7711000000000006,25.786875,70.0,166.0,False
TiSe2,22.0,34.0,12.0,30.0,5.333333333333333,34.0,43.0,89.0,73.66666666666667,20.444444444444443,89.0,494.0,1941.0,1447.0,976.3333333333334,643.1111111111112,494.0,5.333333333333333,120.0,160.0,40.0,133.33333333333334,17.777777777777782,120.0,2.55,1.0099999999999998,2.2133333333333334,2.55,2.0,2.0,2.0,4.0,16.0,12.0,12.0,5.333333333333333,16.0,8.0,4.0,16.69,25.92,22.843333333333334,4.102222222222223,25.92,14.0,194.0,False
Ba2B4H2O9,1.0,56.0,55.0,12.117647058823529,10.325259515570934,8.0,9.0,92.0,74.88235294117646,16.858131487889274,87.0,14.01,2348.0,2333.99,700.7776470588236,845.5687197231833,54.8,4.885813148788928,31.0,215.0,184.0,83.6470588235294,31.07266435986159,66.0,3.44,2.55,2.664705882352941,3.44,2.0,1.8823529411764706,2.0,1.0,6.0,5.0,4.235294117647059,1.8685121107266436,6.0,5.0,2.3529411764705883,6.615,63.59,14.76735294117647,11.487681660899655,9.105,12.0,229.0,False
Sr2MgReO6,8.0,75.0,67.0,21.1,17.54,8.0,8.0,87.0,66.0,25.6,87.0,54.8,3459.0,3404.2,681.08,751.5360000000001,54.8,6.12,66.0,195.0,129.0,107.8,50.160000000000004,66.0,3.44,2.49,2.575,3.44,2.0,2.0,2.0,2.0,21.0,19.0,6.3,2.94,6.0,5.0,1.7,9.105,54.23,20.063499999999998,14.2319,9.105,12.0,225.0,True
AsI3,33.0,53.0,20.0,48.0,7.5,53.0,84.0,96.0,93.0,4.5,96.0,386.85,1090.0,703.15,562.6375,263.68125,386.85,0.75,119.0,139.0,20.0,134.0,7.5,139.0,2.66,0.48,2.54,2.66,2.0,2.0,2.0,15.0,17.0,2.0,16.5,0.75,17.0,3.0,1.5,22.175,43.015,37.80500000000001,7.814999999999997,43.015,64.0,166.0,False
La2Ge5Rh3,32.0,57.0,25.0,40.9,8.9,32.0,13.0,79.0,59.8,19.2,79.0,1193.0,2237.0,1044.0,1515.4,432.96000000000004,1211.4,3.7,120.0,207.0,87.0,144.0,25.2,120.0,2.28,1.1799999999999997,1.909,2.01,2.0,1.7,2.0,3.0,14.0,11.0,10.3,3.7,14.0,9.0,4.7,13.64,36.8975,22.974,5.600399999999999,23.005,194.0,225.0,True
Cu23(Sb4S13)2,16.0,51.0,35.0,26.157894736842106,9.266851338873497,16.0,64.0,88.0,77.89473684210526,11.213296398891966,88.0,388.36,1357.77,969.41,851.8650877192982,422.8467466912896,388.36,2.293628808864266,105.0,139.0,34.0,120.66666666666667,14.292397660818715,105.0,2.58,0.6800000000000002,2.2312280701754386,2.58,2.0,1.5964912280701755,2.0,6.0,15.0,9.0,9.280701754385966,2.9929208987380735,6.0,3.0,1.736842105263158,11.07,31.56,20.658749999999998,7.738289473684209,25.786875,70.0,225.0,True
K4Ce3Sn3S14,16.0,58.0,42.0,26.0,14.0,16.0,3.0,88.0,63.708333333333336,32.41319444444445,88.0,336.53,1071.0,734.47,479.64166666666665,154.19916666666666,388.36,5.697916666666667,105.0,204.0,99.0,137.95833333333334,38.45138888888889,105.0,2.58,1.7600000000000002,2.026666666666667,2.58,2.0,1.8333333333333333,2.0,1.0,14.0,13.0,5.916666666666667,2.1180555555555554,6.0,22.0,4.583333333333333,25.786875,73.1066666667,36.04241319445,12.654147858804166,25.786875,70.0,229.0,False
Y2Ge5Ir3,32.0,77.0,45.0,46.9,18.060000000000002,32.0,12.0,79.0,59.9,19.160000000000004,79.0,1211.4,2739.0,1527.6,1787.2,575.8,1211.4,3.7,120.0,190.0,70.0,140.3,20.3,120.0,2.2,0.9800000000000002,1.909,2.01,2.0,2.0,2.0,3.0,23.0,20.0,14.5,5.1,14.0,9.0,4.7,14.21,32.365,22.2385,4.817100000000001,23.005,194.0,225.0,True
B3Pb10Br3O13,5.0,82.0,77.0,36.0,31.724137931034484,8.0,72.0,95.0,84.20689655172414,4.737217598097502,87.0,54.8,2348.0,2293.2,502.0655172413793,449.8791914387633,54.8,1.1961950059453033,66.0,146.0,80.0,101.03448275862068,34.9346016646849,66.0,3.44,1.4,2.862758620689655,3.44,2.0,2.0,2.0,3.0,28.0,25.0,14.413793103448276,9.90487514863258,6.0,5.0,2.896551724137931,7.1725,29.48,17.566293103448277,9.73642687277051,9.105,12.0,225.0,False
TlCr5Se8,24.0,81.0,57.0,33.785714285714285,6.9897959183673475,34.0,49.0,89.0,73.78571428571429,17.70408163265306,89.0,494.0,2180.0,1686.0,1102.0714285714287,769.9489795918367,494.0,4.438775510204082,120.0,145.0,25.0,128.57142857142858,9.79591836734694,120.0,2.55,0.9299999999999997,2.1657142857142855,2.55,2.0,1.6428571428571428,2.0,6.0,27.0,21.0,13.214285714285714,5.153061224489796,16.0,6.0,3.642857142857143,11.19,26.91,20.73,6.814285714285715,25.92,14.0,229.0,False
K2Mo2Se2O11,8.0,42.0,34.0,16.352941176470587,10.809688581314878,8.0,3.0,89.0,73.0,21.88235294117647,87.0,54.8,2896.0,2841.2,473.8741176470588,574.6474740484429,54.8,4.498269896193771,66.0,203.0,137.0,98.82352941176471,42.477508650519034,66.0,3.44,2.62,2.8764705882352937,3.44,2.0,1.7647058823529411,2.0,1.0,16.0,15.0,6.588235294117647,2.214532871972318,6.0,6.0,2.3529411764705883,9.105,73.1066666667,19.387549019611765,14.176839677053286,9.105,12.0,229.0,False
CdHg6(As2Br3)2,33.0,80.0,47.0,51.1764705882353,20.34602076124568,35.0,70.0,95.0,82.47058823529412,9.56401384083045,71.0,234.32,1090.0,855.6800000000001,467.9376470588236,307.5919723183391,234.32,2.0346020761245676,119.0,144.0,25.0,125.41176470588235,6.837370242214532,120.0,2.96,1.27,2.3629411764705885,2.0,2.0,2.0,2.0,12.0,26.0,14.0,19.41176470588235,4.650519031141869,17.0,3.0,1.0588235294117647,19.495,29.48,25.6765010142,2.6848228135058814,25.2375862069,64.0,194.0,False
Rh3Pb,45.0,82.0,37.0,54.25,13.875,45.0,59.0,81.0,64.5,8.25,59.0,600.61,2237.0,1636.3899999999999,1827.9025,613.64625,2237.0,1.875,142.0,146.0,4.0,143.0,1.5,142.0,2.33,0.050000000000000266,2.2925,2.28,2.0,1.25,1.0,9.0,28.0,19.0,13.75,7.125,9.0,4.0,3.25,13.64,28.11,17.2575,5.42625,13.64,225.0,225.0,True
ZnCrO2,8.0,30.0,22.0,17.5,9.5,8.0,49.0,87.0,73.0,14.0,87.0,54.8,2180.0,2125.2,745.5699999999999,717.215,54.8,3.5,66.0,139.0,73.0,98.25,32.25,66.0,3.44,1.79,2.5475,3.44,2.0,1.75,2.0,6.0,12.0,6.0,7.5,2.25,6.0,6.0,2.5,9.105,13.96,10.84,1.7349999999999999,9.105,12.0,229.0,True
NaFe2O3,8.0,26.0,18.0,14.5,7.666666666666667,8.0,2.0,87.0,62.166666666666664,24.833333333333332,87.0,54.8,1811.0,1756.2,692.8783333333332,745.4144444444445,54.8,5.166666666666667,66.0,166.0,100.0,104.66666666666667,38.666666666666664,66.0,3.44,2.51,2.485,3.44,2.0,1.8333333333333333,2.0,1.0,8.0,7.0,5.833333333333333,1.6111111111111114,6.0,4.0,2.5,9.105,29.2433333333,13.00305555555,5.413425925916667,9.105,12.0,229.0,True
SmSb2,51.0,62.0,11.0,54.666666666666664,4.888888888888888,51.0,23.0,85.0,64.33333333333333,27.555555555555557,85.0,903.78,1345.0,441.22,1050.8533333333332,196.09777777777776,903.78,5.333333333333333,139.0,198.0,59.0,158.66666666666666,26.222222222222218,139.0,2.05,0.8799999999999999,1.7566666666666666,2.05,2.0,2.0,2.0,8.0,15.0,7.0,12.666666666666666,3.111111111111111,15.0,8.0,4.666666666666667,31.56,33.23,32.11666666666667,0.7422222222222222,31.56,166.0,166.0,True
Ca3Sn2S7,16.0,50.0,34.0,22.666666666666668,9.111111111111112,16.0,7.0,88.0,66.41666666666667,29.708333333333332,88.0,388.36,1115.0,726.64,589.4733333333334,262.7633333333334,388.36,5.083333333333334,105.0,176.0,71.0,128.41666666666666,27.319444444444443,105.0,2.58,1.58,2.081666666666667,2.58,2.0,2.0,2.0,2.0,14.0,12.0,6.333333333333333,2.555555555555556,6.0,4.0,1.8333333333333333,25.786875,37.77,30.032343749999995,4.953046875000001,25.786875,70.0,225.0,True
